planeableitem
Id,Name,Parent,Description,Priority,ItemType
60,31,6,67.0,-94.0,28.0,168.0,3,2,,
61,32,6,-471.0,-20.0,30.0,100.0,3,2,,
62,32,6,-350.0,-18.0,30.0,100.0,4,2,,
63,32,6,-233.0,-17.0,30.0,100.0,4,2,,
64,32,6,-119.0,-13.0,30.0,100.0,4,2,,
65,32,6,-6.0,-18.0,30.0,100.0,4,2,,
66,32,6,119.0,-19.0,30.0,100.0,4,2,,
67,32,6,243.0,-20.0,30.0,100.0,4,2,,
68,33,7,-889.0,313.0,97.0,166.0,0,2,,
69,34,7,-879.0,353.0,30.0,138.0,1,2,,
70,31,7,-890.0,198.0,31.0,168.0,2,2,,
71,3,7,-908.0,143.0,31.0,204.0,3,2,,
72,28,7,-928.0,35.0,56.0,243.0,4,2,,
73,35,7,-1258.0,15.0,92.0,169.0,5,2,,
74,36,7,-1243.0,53.0,29.0,136.0,6,2,,
75,37,7,-531.0,22.0,82.0,182.0,7,2,,
76,38,7,-518.0,53.0,32.0,154.0,8,2,,
77,39,7,-912.0,-70.0,30.0,205.0,9,2,,
78,40,7,-1241.0,-80.0,31.0,204.0,10,2,,
79,9,7,-840.0,38.0,29.0,60.0,11,2,,
80,2,8,-537.0,-57.0,58.0,101.0,0,2,,
82,4,8,-584.0,-487.0,121.0,265.0,3,2,,
83,42,8,-357.0,-217.0,30.0,115.0,4,2,,
84,41,8,-567.0,-452.0,30.0,100.0,5,2,,
85,43,8,-566.0,-415.0,30.0,100.0,6,2,,
86,44,8,-571.0,-259.0,96.0,358.0,1,2,,
87,45,8,-534.0,-215.0,31.0,135.0,7,2,,
88,46,8,-532.0,-125.0,30.0,100.0,8,2,,

hiddenconnection
Id,View,Connection

architectureblock
Id,Name,Description,Parent
1,Power Matcher,,
2,Backend,,28
3,Trading Objective Agent,,1
4,User Interface,Implemented in HTML + JQuery + Plugins,28
5,Dashboard,,4
6,PM Framework,,2
7,IPC Bus,"Uses e.g. the IMBus (0MQ), MQTT, or OSGi.

MQTT is to be used in communicating with Power Matcher. However, this is encapsulated in the Power Matcher reference implementation.

Strong point of OSGi is that Alliander wants to be able to maintain the system *while it is running*. OSGi has support for this, out of the box.",23
8,Database,"Stores:

 - Configuration
 - Current Status
 - Historic bid curves archive
 - Orders to the APX, including their state.",2
9,API,"De API bestaat uit services die vanuit een Java module aangesproken kunnen worden.

Includes:

 - Secure authentication",2
10,Bid Curve Processing,,2
11,Limit Order Generation,,2
12,APX Bid Curve Optimizer,,2
13,APX Interface,"Includes:

 - sanity checks to prevent serious errors.
 - Authorization workflow
 - Upload of XML files to APX (windows) servers.",2
14,APX,,
15,Acceptance APX,,14
16,Alarm Notification,Through e.g. SMS and email,2
17,Cleanup,"Periodically remove:

 - old orders to the APX (XML files)",23
18,Log,Maybe integrated into database?,23
19,E-program generator,Handles incoming APX settlements,2
20,TenneT,,
21,Tennet Interface,,2
22,Bid Curve Generator,,2
23,Framework,,28
24,Plotting,"If Vaadin is used, plotting can be done by the Graph module.

Includes editting setpoints & other parameters in graphs.",
25,PM Objective Agent,,
26,Config,,
27,Component lifecycle,,
28,TUS,,
29,Operator,,
30,Mail / SMS server,,
31,Concentrator Agent,,1
32,Prosumer,,1
33,Agent Simulator,,1
34,Agent Algoritm,,33
35,APX Simulator,,14
36,APX Algorithm,,35
37,TenneT Simulator,,20
38,TenneT Algorithm,,37
39,User Interface Simulator,,4
40,Test Script,,
41,JQuery,,4
42,HTML pages,,2
43,Plugins,,4
44,Application Server,,28
45,REST Interface,,44
46,Firewall,,44

dbaseversion
Id,Version
1,2

project
Id,FirstWeek,LastWeek

connection
Id,Start,End,Description
3,4,9,
4,6,1,
5,25,6,
6,6,10,
7,6,19,
8,13,12,
9,13,19,
10,12,11,
11,10,11,
12,15,13,
13,14,13,
14,20,21,
15,1,25,
16,29,28,
17,20,28,
18,1,28,
19,14,28,
20,30,28,
21,13,4,
22,19,21,
23,21,4,
24,21,8,
25,13,8,
26,10,4,
27,10,8,
28,22,21,
29,22,6,
30,28,3,
31,3,31,
32,32,31,
33,31,33,
34,28,35,
35,37,28,
36,35,40,
37,39,40,
38,37,40,
39,33,40,
40,39,9,
41,42,4,
42,4,45,
43,2,45,
44,14,40,

style
Id,Name,Details

connectionrepresentation
Id,Connection,style_role

planeablexref
A,B

planeablestatus
Id,Planeable,Description,TimeStamp,Status,TimeRemaining,TimeSpent,AssignedTo
1,58,What does import mean? Retrieve from server and store on local work station or vice-versa?,2013-11-19 13:32:47.715000,Question,0.0,,
2,56,What is 'visual feedback'? A different color depending on how old the bid curve is? Or the bidcurve itself?,2013-11-19 13:34:05.601000,Question,0.0,,
3,64,What is the role of the 'objective agent'?,2013-11-19 13:37:42.548000,Question,0.0,,
4,73,It is assumed that linear interpolation is intended here.,2013-11-19 13:45:38.062000,Question,0.0,,
5,76,"Are 100 and 0.1 example values for the configurable parameters or the limits allowed for these parameters? If limits, are these upper or lower limits?",2013-11-19 13:48:06.577000,Question,0.0,,
6,91,"Will the configurable time always be relative to GMT+1, or must the timezone be part of the configuration so that e.g. Europe/Amsterdam can be used?",2013-11-19 13:59:48.137000,Question,0.0,,
7,98,"What protocol is to be used? File transfer such as (s)ftp, rsync, or smb?",2013-11-19 14:05:05.207000,Question,0.0,,
8,103,How is this a functional requirement for the Final version?,2013-11-19 14:07:28.668000,Question,0.0,,
9,104,How is this a functional requirement for the Final version?,2013-11-19 14:08:14.868000,Question,0.0,,
10,109,What type of visual feedback are you thinking of?,2013-11-19 14:11:06.076000,Question,0.0,,
11,110,What type of visual feedback are you thinking of?,2013-11-19 14:11:59.969000,Question,0.0,,
12,122,What type of visual feedback are you thinking of?,2013-11-19 14:16:58.691000,Question,0.0,,
13,146,We assume this visual feedback shows the actual curves being generated.,2013-11-19 14:26:42.673000,Question,0.0,,
14,144,"Should TUS be configured to activate the external source, or should the external source take initiative?",2013-11-19 14:28:02.600000,Question,0.0,,
15,169,How can the developer determine what is 'relevant'?,2013-11-19 14:52:28.707000,Question,0.0,,
16,183,,2013-11-19 15:09:36.796000,Duplicate,0.0,,
17,184,,2013-11-19 15:09:59.858000,Duplicate,0.0,,
18,185,What is meant with an 'APX limit/block template'? How is the template to be used?,2013-11-19 15:10:50.721000,Question,0.0,,
19,186,How are these templates to be used?,2013-11-19 15:11:32.513000,Question,0.0,,
20,189,It is assumed that this feedback can consist of a plot.,2013-11-19 15:13:06.132000,Question,0.0,,
21,190,It is assumed this feedback can consist of a plot.,2013-11-19 15:14:18.912000,Question,0.0,,
22,193,Not a functional requirement.,2013-11-19 15:15:33.669000,Rejected,0.0,,
23,196,,2013-11-19 15:17:47.192000,Duplicate,0.0,,
24,202,Not a functional requirement.,2013-11-19 15:21:04.343000,Rejected,0.0,,
25,243,"Does not PowerManager aggregate bidcurves (bijlage 8 section 2.5.6)? This would mean the load for the TUS will be much lower than stated here.

Or does Alliander not intend to use the Concentrators?",2013-11-20 09:37:47.217000,Question,0.0,,
26,89,"Q: How does automatic authorization work?

A: The manager can place authorization in manual or automatic mode. See 333D - F.",2013-11-22 13:18:12.459000,Open,2.0,,
27,124,Sent to Whom?,2013-11-25 12:07:55.232000,Question,0.0,,
28,41,Welke idioot heeft dit bedacht?,2013-11-27 13:05:21.038000,Question,0.0,,
29,245,,2013-11-27 16:48:04.203000,Open,5.0,,
30,246,,2013-11-27 16:48:14.514000,Open,15.0,,
31,247,,2013-11-27 16:48:31.732000,Open,5.0,,
32,52,,2013-11-27 16:48:47.996000,Open,1.0,,
33,53,,2013-11-27 16:48:53.066000,Open,1.0,,
34,54,Configuratie functiepunt,2013-11-27 16:49:20.434000,Open,1.0,,
35,55,,2013-11-27 16:49:27.977000,Open,2.0,,
36,56,Aanname: een grafiekje,2013-11-27 16:50:01.826000,Open,1.0,,
37,248,,2013-11-27 16:50:24.908000,Open,3.0,,
38,249,,2013-11-27 16:50:45.485000,Open,5.0,,
39,57,,2013-11-27 16:51:08.626000,Open,1.0,,
40,58,Het gaat om opslag naar TUS,2013-11-27 16:51:36.009000,Open,2.0,,
41,59,,2013-11-27 16:51:46.825000,Open,1.0,,
42,60,,2013-11-27 16:51:53.673000,Open,1.0,,
43,61,Weet niet precies wat dit inhoudt...,2013-11-27 16:52:16.313000,Open,1.0,,
44,62,,2013-11-27 16:52:30.692000,Open,1.0,,
45,64,De Objective Agent geeft informatie van de markten door naar de andere Power Matcher agents.,2013-11-27 16:53:30.090000,Open,5.0,,
46,65,Het nieuwe hier is het mechanisme dat dit ieder uur doet.,2013-11-27 16:54:22.746000,Open,1.0,,
47,66,,2013-11-27 16:54:35.305000,Open,2.0,,
48,67,Geen functionele eis,2013-11-27 16:54:54.907000,Rejected,0.0,,
49,68,Nieuw: dat het voor de hele dag is.,2013-11-27 16:55:18.986000,Open,1.0,,
50,69,,2013-11-27 16:55:23.714000,Open,1.0,,
51,70,,2013-11-27 16:55:32.594000,Open,1.0,,
52,71,,2013-11-27 16:55:37.849000,Open,1.0,,
53,72,,2013-11-27 16:55:48.618000,Open,3.0,,
54,250,,2013-11-27 16:56:15.004000,Open,5.0,,
55,251,,2013-11-27 16:56:40.069000,Open,5.0,,
56,73,"Klopt, lineaire interpolatie wordt gevraagd.",2013-11-27 16:57:15.778000,Open,2.0,,
57,74,Geen functionele eis,2013-11-27 16:57:32.914000,Rejected,0.0,,
58,75,,2013-11-27 16:57:52.618000,Open,3.0,,
59,76,Dit zijn inderdaad de boven grens (100) en de ondergrens (0.1).,2013-11-27 16:58:26.289000,Open,2.0,,
60,77,Geen functionele eis,2013-11-27 16:58:57.616000,Rejected,0.0,,
61,78,,2013-11-27 16:59:11.552000,Open,1.0,,
62,79,,2013-11-27 16:59:20.657000,Open,2.0,,
63,80,,2013-11-27 16:59:39.219000,Open,2.0,,
64,252,,2013-11-27 16:59:58.875000,Open,5.0,,
65,81,,2013-11-27 17:00:08.545000,Open,1.0,,
66,82,,2013-11-27 17:00:32.457000,Open,2.0,,
67,83,,2013-11-27 17:00:53.858000,Open,1.0,,
68,84,,2013-11-27 17:01:09.008000,Open,2.0,,
69,85,,2013-11-27 17:01:42.233000,Open,1.0,,
70,87,Afrondingen goed implementeren.,2013-11-27 17:02:02.265000,Open,1.0,,
71,88,,2013-11-27 17:02:12.177000,Open,1.0,,
72,90,,2013-11-27 17:02:36.889000,Open,2.0,,
73,91,Liefst configureerbaar afhankelijk van het betreffende land.,2013-11-27 17:03:01.016000,Open,1.0,,
74,92,Lastig testwerk,2013-11-27 17:32:25.128000,Open,2.0,,
75,93,,2013-11-27 17:32:34.641000,Open,1.0,,
76,94,,2013-11-27 17:32:50.300000,Open,1.0,,
77,95,,2013-11-27 17:33:06.193000,Open,1.0,,
78,96,Geen functionele eis,2013-11-27 17:33:21.392000,Rejected,0.0,,
79,97,,2013-11-27 17:33:33.786000,Open,1.0,,
80,98,"SFTP

De hoge schatting komt uit het moeten testen & simuleren van deze interface: behoorlijk wat werk voor nodig.",2013-11-27 17:33:44.177000,Open,3.0,,
81,99,,2013-11-27 17:34:52.969000,Open,2.0,,
82,100,,2013-11-27 17:34:58.825000,Open,1.0,,
83,101,,2013-11-27 17:35:17.504000,Open,1.0,,
84,102,,2013-11-27 17:35:22.064000,Open,1.0,,
85,103,Geen functionele eis,2013-11-27 17:35:36.424000,Rejected,0.0,,
86,104,Geen functionele eis,2013-11-27 17:35:49.169000,Rejected,0.0,,
87,106,,2013-11-27 17:35:55.568000,Open,1.0,,
88,107,,2013-11-27 17:36:05.017000,Open,1.0,,
89,108,Vooral veel testwerk.,2013-11-27 17:36:28.024000,Open,2.0,,
90,109,Een grafiekje,2013-11-27 17:36:39.809000,Open,1.0,,
91,110,Nader te bepalen,2013-11-27 17:39:55.033000,Open,2.0,,
92,111,,2013-11-27 17:40:07.473000,Open,2.0,,
93,112,,2013-11-27 17:40:13.009000,Open,1.0,,
94,253,,2013-11-27 17:41:40.085000,Open,5.0,,
95,113,,2013-11-27 17:41:48.304000,Open,1.0,,
96,114,,2013-11-27 17:41:52.401000,Open,1.0,,
97,115,,2013-11-27 17:41:58.345000,Open,1.0,,
98,116,,2013-11-27 17:42:59.298000,Open,1.0,,
99,117,,2013-11-27 17:43:22.705000,Open,5.0,,
100,118,,2013-11-27 17:43:28.843000,Open,1.0,,
101,119,,2013-11-27 17:43:39.705000,Open,1.0,,
102,121,,2013-11-27 17:43:48.728000,Open,3.0,,
103,122,Nader te bepalen.,2013-11-27 17:45:23.905000,Open,2.0,,
104,123,,2013-11-27 17:45:29.409000,Open,2.0,,
105,124,"Naar TenneT.

Protocol is onbekend, lijkt op een custom mail-achtig protocol.",2013-11-27 17:46:05.217000,Open,5.0,,
106,125,Overhead in het maken van een losse OSGi service,2013-11-27 17:46:32.929000,Open,1.0,,
107,126,,2013-11-27 17:46:38.089000,Open,1.0,,
108,127,,2013-11-27 17:46:43.705000,Open,1.0,,
109,128,Overhead van het serialiseren van Java object.,2013-11-27 17:47:39.025000,Open,1.0,,
110,129,,2013-11-27 17:47:54.376000,Open,2.0,,
111,130,,2013-11-27 17:48:01.857000,Open,1.0,,
112,132,,2013-11-27 17:48:06.569000,Open,1.0,,
113,133,,2013-11-27 17:48:11.138000,Open,1.0,,
114,134,,2013-11-27 17:48:15.402000,Open,1.0,,
115,135,,2013-11-27 17:48:20.089000,Open,1.0,,
116,136,,2013-11-27 17:48:26.168000,Open,1.0,,
117,137,,2013-11-27 17:48:36.209000,Open,1.0,,
118,143,,2013-11-27 17:48:51.929000,Open,2.0,,
119,144,De externe applicatie neemt initiatief.,2013-11-27 17:49:16.289000,Open,1.0,,
120,145,,2013-11-27 17:49:32.193000,Open,1.0,,
121,146,Klopt.,2013-11-27 17:49:42.009000,Open,1.0,,
122,147,,2013-11-27 17:49:59.833000,Open,3.0,,
123,148,,2013-11-27 17:50:33.837000,Open,3.0,,
124,138,,2013-11-27 17:50:49.808000,Open,1.0,,
125,139,,2013-11-27 17:51:06.376000,Open,1.0,,
126,140,,2013-11-27 17:51:12.529000,Open,1.0,,
127,141,,2013-11-27 17:53:55.617000,Open,1.0,,
128,142,,2013-11-27 17:53:59.904000,Open,1.0,,
129,151,Het werk is het configureren hiervan.,2013-11-27 17:54:14.992000,Open,1.0,,
130,152,,2013-11-27 17:54:27.905000,Open,3.0,,
131,153,,2013-11-27 17:54:35.666000,Open,3.0,,
132,154,,2013-11-27 17:54:45.480000,Open,3.0,,
133,155,,2013-11-27 17:54:51.305000,Open,1.0,,
134,156,,2013-11-27 17:54:57.824000,Open,1.0,,
135,157,In de structuur rekening mee houden,2013-11-27 17:55:16.896000,Open,1.0,,
136,160,,2013-11-27 17:55:23.064000,Open,1.0,,
137,161,,2013-11-27 17:55:52.520000,Open,5.0,,
138,162,Geen functionele eis.,2013-11-27 17:56:04.919000,Rejected,0.0,,
139,163,Er is een framewerkje nodig.,2013-11-27 17:56:40.424000,Open,5.0,,
140,164,Wordt per scherm / component afgehandeld.,2013-11-27 17:57:18.576000,Rejected,0.0,,
141,165,,2013-11-27 17:57:27.471000,Open,2.0,,
142,166,Geen functionele eis,2013-11-27 17:57:37.696000,Rejected,0.0,,
143,167,Geen functionele eis.,2013-11-27 17:57:57.336000,Rejected,0.0,,
144,168,Standaard functionaliteit in een web framework,2013-11-27 17:58:19.567000,Done,0.0,,
145,169,Het gaat om het kunnen exporteren / importeren.,2013-11-27 17:58:42.960000,Open,1.0,,
146,170,Voor excel export is werk noodzakelijk.,2013-11-27 17:59:08.840000,Open,5.0,,
147,171,Integraal oplossen in de API.,2013-11-27 17:59:15.095000,Open,1.0,,
148,172,Open einde requirement.,2013-11-27 17:59:46.415000,Open,5.0,,
149,174,Nader in te vullen.,2013-11-27 18:00:11.995000,Open,0.0,,
150,175,,2013-11-27 18:00:25.631000,Open,1.0,,
151,176,,2013-11-27 18:00:47.000000,Open,5.0,,
152,177,Meegenomen in de vorige eis.,2013-11-27 18:01:01.231000,Open,0.0,,
153,178,,2013-11-27 18:01:09.616000,Open,1.0,,
154,180,,2013-11-27 18:01:22.496000,Open,3.0,,
155,181,,2013-11-27 18:01:32.327000,Open,1.0,,
156,182,,2013-11-27 18:01:43.512000,Open,5.0,,
157,185,Aanname: een oude order wordt ingevuld in de gene die nu geedit wordt.,2013-11-27 18:02:20.768000,Open,1.0,,
158,186,Ze moeten worden ingevuld (zie vorige eis),2013-11-27 20:19:06.428000,Open,3.0,,
159,187,,2013-11-27 20:19:27.864000,Open,2.0,,
160,188,,2013-11-27 20:20:25.100000,Open,1.0,,
161,189,"Het wordt inderdaad een plotje. 

Door het overzicht over de uren is het meer werk dan alleen de laatste.",2013-11-27 20:20:53.079000,Open,3.0,,
162,190,Inderdaad een plotje.,2013-11-27 20:22:21.006000,Open,1.0,,
163,191,,2013-11-27 20:22:46.977000,Open,2.0,,
164,192,,2013-11-27 20:23:04.349000,Open,2.0,,
165,195,Dit plotje is al ergens anders getoond voor de volgende dag; moet terug komen in dit scherm voor de huidige dag.,2013-11-27 20:24:05.696000,Open,1.0,,
166,197,,2013-11-27 20:25:21.132000,Open,1.0,,
167,198,,2013-11-27 20:25:34.137000,Open,2.0,,
168,199,,2013-11-27 20:26:22.184000,Open,3.0,,
169,200,,2013-11-27 20:26:48.138000,Open,1.0,,
170,201,,2013-11-27 20:27:10.790000,Open,2.0,,
171,214,,2013-11-27 20:27:32.481000,Open,1.0,,
172,215,,2013-11-27 20:27:40.372000,Duplicate,0.0,,
173,216,,2013-11-27 20:27:54.647000,Duplicate,0.0,,
174,217,,2013-11-27 20:28:17.301000,Duplicate,0.0,,
175,218,,2013-11-27 20:28:28.197000,Open,1.0,,
176,219,,2013-11-27 20:28:45.369000,Open,3.0,,
177,224,,2013-11-27 20:28:56.143000,Duplicate,0.0,,
178,225,Not a functional requirement,2013-11-27 20:29:14.714000,Rejected,0.0,,
179,226,,2013-11-27 20:29:22.542000,Open,2.0,,
180,227,,2013-11-27 20:29:29.483000,Open,1.0,,
181,228,,2013-11-27 20:29:37.889000,Open,1.0,,
182,229,Samen geschat met de vorige eis.,2013-11-27 20:30:15.374000,Done,0.0,,
183,230,,2013-11-27 20:30:26.832000,Duplicate,0.0,,
184,231,,2013-11-27 20:30:47.803000,Open,4.0,,
185,232,"Hier zit een boel functionaliteit achter: hoe weet het systeem uberhaupt welke agents er potentieel zijn, etc.",2013-11-27 20:32:05.112000,Open,5.0,,
186,233,Aanname: directe toegang = direct SQL schrijven.,2013-11-27 20:32:14.709000,Open,1.0,,
187,234,,2013-11-27 20:32:56.744000,Open,3.0,,
188,235,,2013-11-27 20:33:08.425000,Open,3.0,,
189,236,,2013-11-27 20:33:27.508000,Open,1.0,,
190,237,Onduidelijk hoe dit gerealiseerd gaat worden; nauwe interactie met OSGi.,2013-11-27 20:34:00.464000,Open,5.0,,
191,238,,2013-11-27 20:34:23.098000,Open,1.0,,
192,239,,2013-11-27 20:34:48.285000,Open,5.0,,
193,240,,2013-11-27 20:35:03.484000,Open,2.0,,
194,241,"Lijkt een duplicaat van 334G, alleen is mag deze rol van meer mensen de credentials aanpassen. Dus extra werk.",2013-11-27 21:01:42.644000,Open,1.0,,

requirement
Id,Type
50,Comment
51,Functional
52,Functional
53,Functional
54,Functional
55,Functional
56,Functional
57,Functional
58,Functional
59,Functional
60,Functional
61,Functional
62,Functional
63,Functional
64,Functional
65,Functional
66,Functional
67,Functional
68,Functional
69,Functional
70,Functional
71,Functional
72,Functional
73,Functional
74,Functional
75,Functional
76,Functional
77,Functional
78,Functional
79,Functional
80,Functional
81,Functional
82,Functional
83,Functional
84,Functional
85,Functional
86,Functional
87,Functional
88,Functional
89,Functional
90,Functional
91,Functional
92,Functional
93,Functional
94,Functional
95,Functional
96,Functional
97,Functional
98,Functional
99,Functional
100,Functional
101,Functional
102,Functional
103,Functional
104,Functional
105,Functional
106,Functional
107,Functional
108,Functional
109,Functional
110,Functional
111,Functional
112,Functional
113,Functional
114,Functional
115,Functional
116,Functional
117,Functional
118,Functional
119,Functional
120,Functional
121,Functional
122,Functional
123,Functional
124,Functional
125,Functional
126,Functional
127,Functional
128,Functional
129,Functional
130,Functional
131,Functional
132,Functional
133,Functional
134,Functional
135,Functional
136,Functional
137,Functional
138,Functional
139,Functional
140,Functional
141,Functional
142,Functional
143,Functional
144,Functional
145,Functional
146,Functional
147,Functional
148,Functional
149,Functional
150,Functional
151,Functional
152,Functional
153,Functional
154,Functional
155,Functional
156,Functional
157,Functional
158,Functional
159,Functional
160,Functional
161,Functional
162,Functional
163,Functional
164,Functional
165,Functional
166,Functional
167,Functional
168,Functional
169,Functional
170,Functional
171,Functional
172,Functional
173,Functional
174,Functional
175,Functional
176,Functional
177,Functional
178,Functional
179,Functional
180,Functional
181,Functional
182,Functional
183,Functional
184,Functional
185,Functional
186,Functional
187,Functional
188,Functional
189,Functional
190,Functional
191,Functional
192,Functional
193,Functional
194,Functional
195,Functional
196,Functional
197,Functional
198,Functional
199,Functional
200,Functional
201,Functional
202,Functional
203,Functional
204,Functional
205,Functional
206,Functional
207,Functional
208,Functional
209,Functional
210,Functional
211,Functional
212,Functional
213,Functional
214,Functional
215,Functional
216,Functional
217,Functional
218,Functional
219,Functional
220,Functional
221,Functional
222,Functional
223,Functional
224,Functional
225,Functional
226,Functional
227,Functional
228,Functional
229,Functional
230,Functional
231,Functional
232,Functional
233,Functional
234,Functional
235,Functional
236,Functional
237,Functional
238,Functional
239,Functional
240,Functional
241,Functional
242,Functional
243,Functional
244,Functional
245,Functional
246,Functional
247,Functional
248,Functional
249,Functional
250,Functional
251,Functional
252,Functional
253,Functional
254,Functional
255,Functional
256,Functional
257,Functional
258,Functional

view
Id,Refinement
1,
2,
3,
4,
5,
6,
7,
8,

plannedeffort
Id,Worker,Project,Week,Hours

